                       OLS Regression Results                       
Dep. Variable:   ,y               ,  R-squared:         ,   0.811   
Model:           ,OLS             ,  Adj. R-squared:    ,   0.810   
Method:          ,Least Squares   ,  F-statistic:       ,   903.9   
Date:            ,Sun, 02 Jun 2019,  Prob (F-statistic):,  0.00     
Time:            ,23:12:16        ,  Log-Likelihood:    ,-2.8961e+05
No. Observations:, 21613          ,  AIC:               ,5.794e+05  
Df Residuals:    , 21510          ,  BIC:               ,5.802e+05  
Df Model:        ,   102          ,                     ,           
Covariance Type: ,nonrobust       ,                     ,           
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const, 3.792e+05, 7.96e+04,    4.762, 0.000, 2.23e+05, 5.35e+05
x1   , 4.059e+04, 1.79e+04,    2.262, 0.024, 5424.192, 7.58e+04
x2   ,-1.727e+04, 1.28e+04,   -1.352, 0.176,-4.23e+04, 7768.179
x3   , 7.282e+05, 2.22e+04,   32.806, 0.000, 6.85e+05, 7.72e+05
x4   , 2.539e+05, 2.38e+04,   10.684, 0.000, 2.07e+05,    3e+05
x5   , 2.381e+05, 2.15e+04,   11.081, 0.000, 1.96e+05,  2.8e+05
x6   , 2.123e+05,  2.5e+04,    8.506, 0.000, 1.63e+05, 2.61e+05
x7   , 2.197e+05, 2.34e+04,    9.406, 0.000, 1.74e+05, 2.66e+05
x8   ,  1.04e+05, 2.35e+04,    4.427, 0.000,  5.8e+04,  1.5e+05
x9   , 1.153e+05, 2.55e+04,    4.524, 0.000, 6.53e+04, 1.65e+05
x10  ,   7.9e+04, 3.22e+04,    2.453, 0.014, 1.59e+04, 1.42e+05
x11  , 9.125e+04, 2.76e+04,    3.310, 0.001, 3.72e+04, 1.45e+05
x12  , 3.794e+04, 3.56e+04,    1.066, 0.286,-3.18e+04, 1.08e+05
x13  , -4.09e+04, 1.22e+04,   -3.346, 0.001,-6.49e+04,-1.69e+04
x14  , 1.297e+05, 3.27e+04,    3.963, 0.000, 6.55e+04, 1.94e+05
x15  , 1.793e+05, 2.23e+04,    8.045, 0.000, 1.36e+05, 2.23e+05
x16  ,  1.08e+05, 2.29e+04,    4.722, 0.000, 6.32e+04, 1.53e+05
x17  , 2.061e+05, 2.42e+04,    8.533, 0.000, 1.59e+05, 2.53e+05
x18  , 9338.8499, 1.94e+04,    0.481, 0.631,-2.87e+04, 4.74e+04
x19  ,  1.88e+04, 1.95e+04,    0.964, 0.335,-1.94e+04,  5.7e+04
x20  ,  -18.6910, 1.93e+04,   -0.001, 0.999,-3.78e+04, 3.77e+04
x21  , 3.328e+05, 2.34e+04,   14.206, 0.000, 2.87e+05, 3.79e+05
x22  , 1.729e+05, 2.31e+04,    7.478, 0.000, 1.28e+05, 2.18e+05
x23  , 6.187e+04, 1.99e+04,    3.113, 0.002, 2.29e+04, 1.01e+05
x24  , 1.269e+06, 3.05e+04,   41.561, 0.000, 1.21e+06, 1.33e+06
x25  , 4.769e+05, 2.19e+04,   21.763, 0.000, 4.34e+05,  5.2e+05
x26  , 2.123e+04, 1.81e+04,    1.176, 0.240,-1.42e+04, 5.66e+04
x27  , 2.623e+04, 3.73e+04,    0.704, 0.482,-4.68e+04, 9.93e+04
x28  , 2.091e+05, 2.35e+04,    8.892, 0.000, 1.63e+05, 2.55e+05
x29  , 1.854e+05, 2.53e+04,    7.340, 0.000, 1.36e+05, 2.35e+05
x30  , 4.546e+04, 2.03e+04,    2.241, 0.025, 5707.650, 8.52e+04
x31  , 8.908e+04, 2.07e+04,    4.300, 0.000, 4.85e+04,  1.3e+05
x32  , 3.457e+04, 1.92e+04,    1.798, 0.072,-3117.185, 7.23e+04
x33  , 8.445e+04,  2.1e+04,    4.025, 0.000, 4.33e+04, 1.26e+05
x34  , 6.637e+04,    3e+04,    2.212, 0.027, 7555.224, 1.25e+05
x35  ,-1.167e+05, 3.04e+04,   -3.844, 0.000,-1.76e+05,-5.72e+04
x36  ,  1.49e+05, 2.52e+04,    5.923, 0.000, 9.97e+04, 1.98e+05
x37  , 1.483e+05, 2.32e+04,    6.391, 0.000, 1.03e+05, 1.94e+05
x38  , 1.406e+05, 2.39e+04,    5.885, 0.000, 9.38e+04, 1.87e+05
x39  , 1.246e+05, 2.66e+04,    4.692, 0.000, 7.26e+04, 1.77e+05
x40  ,-2.136e+04, 1.64e+04,   -1.301, 0.193,-5.35e+04, 1.08e+04
x41  , 4.624e+05, 2.32e+04,   19.964, 0.000, 4.17e+05, 5.08e+05
x42  , 3.036e+05, 2.04e+04,   14.896, 0.000, 2.64e+05, 3.44e+05
x43  ,  4.31e+05, 2.21e+04,   19.479, 0.000, 3.88e+05, 4.74e+05
x44  , 1.182e+05, 1.87e+04,    6.335, 0.000, 8.16e+04, 1.55e+05
x45  , 3.046e+05, 2.26e+04,   13.488, 0.000,  2.6e+05, 3.49e+05
x46  , 9.265e+04, 1.98e+04,    4.672, 0.000, 5.38e+04, 1.32e+05
x47  , 4.394e+05, 2.31e+04,   19.011, 0.000, 3.94e+05, 4.85e+05
x48  , 5.655e+05, 1.97e+04,   28.741, 0.000, 5.27e+05, 6.04e+05
x49  , 2.942e+05, 2.04e+04,   14.411, 0.000, 2.54e+05, 3.34e+05
x50  ,  2.29e+05, 2.01e+04,   11.407, 0.000,  1.9e+05, 2.68e+05
